英語名,日本語訳,品詞,対象分類,関連語,独自辞書,場所,出現数
incident,インシデント / 障害事象,名詞,イベント,investigation / response / post-incident,○,Home(L6); Assign(L65); Analyze(L109); Interview(L195); Calibrate(L311); Distribute(L508); Closing Thoughts(L531); Continued Learning(L549),181
investigation,調査 / インシデント調査,名詞,プロセス,investigator / investigate / finding,○,Home(L2); Assign(L64); Analyze(L110); Interview(L203); Calibrate(L313); Distribute(L508); Continued Learning(L548),82
meeting,ミーティング / 会議,名詞,会議,facilitator / participant / agenda,×,Home(L55); Analyze(L132); Calibrate(L311); Distribute(L508); Continued Learning(L572),79
review,レビュー / 振り返り / 見直し,名詞,会議,post-incident / meeting / finding,×,Home(L24); Assign(L76); Analyze(L120); Interview(L198); Calibrate(L316); Distribute(L506); Continued Learning(L560),67
event,イベント / 事象 / 出来事,名詞,イベント,incident / timeline / sequence,×,Home(L11); Assign(L65); Analyze(L110); Interview(L198); Calibrate(L316); Distribute(L513); Continued Learning(L594),63
interview,インタビュー / 聞き取り調査,名詞,会議,interviewee / facilitator / question,○,Home(L24); Assign(L96); Analyze(L118); Interview(L192); Calibrate(L311); Continued Learning(L593),60
participant,参加者 / 関係者,名詞,人物,facilitator / interviewee / meeting,×,Home(L39); Assign(L77); Analyze(L110); Interview(L195); Calibrate(L311); Continued Learning(L594),53
analysis,分析 / 解析,名詞,プロセス,analyze / finding / data,×,Home(L24); Assign(L69); Analyze(L110); Interview(L207); Calibrate(L310); Distribute(L520); Closing Thoughts(L531); Continued Learning(L562),51
document,ドキュメント / 文書,名詞,ドキュメント,report / transcript / artifact,×,Home(L24); Assign(L100); Analyze(L120); Interview(L304); Calibrate(L311); Distribute(L513); Continued Learning(L572),47
process,プロセス / 手順 / 工程,名詞,プロセス,workflow / approach / method,×,Home(L6); Assign(L65); Analyze(L132); Interview(L269); Calibrate(L322); Distribute(L513); Continued Learning(L540),43
data,データ / 情報,名詞,データ,information / analysis / timeline,×,Home(L24); Assign(L99); Analyze(L109); Interview(L196); Calibrate(L311); Distribute(L511),41
learn,学ぶ / 学習する,動詞,,learning / insight / knowledge,×,Home(L10); Assign(L76); Analyze(L143); Interview(L207); Calibrate(L341); Distribute(L508); Continued Learning(L577),38
investigator,調査者 / 調査担当者,名詞,人物,investigation / interview / facilitator,○,Home(L29); Assign(L69); Analyze(L112); Interview(L219); Calibrate(L316); Continued Learning(L540),38
question,質問 / 問い,名詞,主題,interview / answer / clarification,×,Assign(L81); Analyze(L116); Interview(L224); Calibrate(L320); Continued Learning(L577),37
report,レポート / 報告書,名詞,ドキュメント,distribute / finding / summary,×,Home(L24); Analyze(L112); Calibrate(L311); Distribute(L508); Continued Learning(L649),35
organization,組織 / 企業,名詞,組織,management / culture,×,Home(L11); Assign(L65); Analyze(L134); Interview(L203); Calibrate(L339); Distribute(L508); Continued Learning(L561),34
action,アクション / 対応 / 行動,名詞,行動,decision / improvement / response,×,Home(L24); Analyze(L134); Interview(L212); Calibrate(L396); Distribute(L506); Continued Learning(L597),30
learning,学習 / 学び,名詞,概念,insight / knowledge / improvement,×,Home(L24); Assign(L65); Analyze(L143); Interview(L257); Calibrate(L320); Distribute(L506); Continued Learning(L538),25
information,情報,名詞,データ,data / source / knowledge,×,Assign(L81); Analyze(L130); Interview(L205); Calibrate(L318); Distribute(L524); Closing Thoughts(L535),25
share,共有する / 共有,動詞,,distribute / report / finding,×,Home(L55); Assign(L102); Analyze(L161); Interview(L266); Calibrate(L311); Distribute(L506); Continued Learning(L569),23
timeline,タイムライン / 時系列,名詞,データ,event / incident / visualization,○,Analyze(L115); Calibrate(L332),23
knowledge,知識,名詞,概念,tacit / learning / expertise,×,Home(L53); Assign(L75); Analyze(L110); Interview(L198); Calibrate(L360); Distribute(L508),22
interviewee,インタビュー対象者 / 聴取対象者,名詞,人物,interview / interviewer / facilitator,○,Home(L55); Assign(L77); Analyze(L118); Interview(L205); Calibrate(L311); Continued Learning(L591),22
theme,テーマ / 主題,名詞,主題,finding / insight / pattern,○,Analyze(L116); Interview(L304); Calibrate(L316); Continued Learning(L647),21
insight,洞察 / 気づき,名詞,データ,finding / analysis / theme,×,Home(L20); Analyze(L138); Interview(L203); Calibrate(L386); Distribute(L511); Continued Learning(L569),20
system,システム,名詞,システム,service / software / process,×,Home(L15); Assign(L75); Analyze(L134); Interview(L198); Calibrate(L339); Continued Learning(L556),19
finding,発見 / 所見 / 調査結果,名詞,ドキュメント,analysis / report / insight,○,Home(L24); Assign(L69); Interview(L203); Calibrate(L311); Distribute(L505); Continued Learning(L569),18
calibration,キャリブレーション / 認識合わせ,名詞,会議,meeting / facilitator / review,○,Home(L24); Analyze(L120); Calibrate(L311); Continued Learning(L572),16
discussion,議論 / 討論 / ディスカッション,名詞,会議,meeting / participant / facilitate,×,Analyze(L121); Interview(L237); Calibrate(L384); Continued Learning(L624),16
follow-up,フォローアップ / 追跡調査,複合語,行動,action / recommendation / post-incident,○,Home(L61); Analyze(L140); Interview(L224); Calibrate(L456),15
post-incident,ポストインシデント / インシデント後の,複合語,,incident / review / investigation,○,Home(L2); Assign(L76); Analyze(L126); Calibrate(L448); Distribute(L527); Continued Learning(L572),14
conduct,実施する / 遂行する,動詞,,interview / investigation / meeting,×,Home(L6); Analyze(L112); Interview(L200),14
generate,生成する / 生み出す,動詞,,insight / finding / learning,×,Home(L22); Analyze(L191); Calibrate(L364); Continued Learning(L634),14
experience,経験 / 体験,名詞,概念,knowledge / expertise / perspective,×,Home(L53); Assign(L90); Interview(L250); Calibrate(L332); Distribute(L524),13
perspective,視点 / 観点,名詞,概念,insight / view / knowledge,×,Assign(L81); Interview(L207); Calibrate(L367); Continued Learning(L644),12
narrative,ナラティブ / 物語形式の記述,名詞,ドキュメント,timeline / event / recount,○,Analyze(L115); Calibrate(L336),12
hypothesis,仮説,名詞,概念,analysis / disprove / evidence,○,Analyze(L134); Interview(L207); Calibrate(L336),12
context,文脈 / 背景 / コンテキスト,名詞,状態,background / situation / history,×,Home(L22); Analyze(L112); Interview(L207); Calibrate(L391); Continued Learning(L562),11
introduce,導入する / 紹介する,動詞,,facilitator / meeting / participant,×,Home(L46); Interview(L237); Continued Learning(L562),11
recommend,推奨する / 勧める,動詞,,action / improvement / finding,×,Assign(L83); Analyze(L134); Interview(L232); Calibrate(L404); Continued Learning(L638),11
impact,影響 / インパクト,名詞,属性,severity / incident / outcome,×,Assign(L93); Analyze(L134); Interview(L207); Calibrate(L336); Continued Learning(L577),11
approach,アプローチ / 方法 / 取り組み,名詞,プロセス,method / process / technique,×,Analyze(L112); Interview(L234); Calibrate(L461); Closing Thoughts(L531); Continued Learning(L579),11
feedback,フィードバック,名詞,データ,calibration / suggestion / review,×,Interview(L269); Calibrate(L316),11
explain,説明する,動詞,,context / narrative / communicate,×,Home(L17); Interview(L265); Calibrate(L360),10
folk,人々 / 関係者,名詞,人物,participant / others,×,Home(L46); Calibrate(L341); Distribute(L508); Continued Learning(L579),10
responder,レスポンダー / 対応者,名詞,人物,incident / response / on-call,○,Analyze(L147); Interview(L196); Calibrate(L410); Continued Learning(L644),10
view,視点 / 見解 / 閲覧する,名詞,概念,perspective / insight / understanding,×,Analyze(L164); Interview(L284); Calibrate(L332); Continued Learning(L545),10
invite,招待する / 呼びかける,動詞,,participant / meeting / assign,×,Interview(L237); Calibrate(L353); Continued Learning(L647),10
engineer,エンジニア,名詞,人物,responder / participant / on-call,×,Home(L15); Analyze(L189); Interview(L228); Calibrate(L372); Continued Learning(L608),9
goal,目標 / 目的,名詞,主題,objective / purpose / outcome,×,Home(L15); Analyze(L137); Calibrate(L461); Continued Learning(L562),9
surprise,驚き / 予期しない事態,名詞,主題,finding / insight / incident,×,Home(L15); Interview(L297); Calibrate(L311); Continued Learning(L621),9
individual,個人 / 個々の,形容詞,,participant / stakeholder,×,Home(L22); Assign(L100); Analyze(L185); Calibrate(L336); Continued Learning(L565),9
meet,満たす / 応じる,動詞,,meeting / participant / facilitator,×,Home(L24); Assign(L85); Analyze(L189); Calibrate(L350); Continued Learning(L642),9
every,それぞれ / 毎,冠詞,,,×,Home(L28); Assign(L69); Continued Learning(L604),9
believe,信じる / 考える,動詞,,,×,Home(L30); Interview(L198); Calibrate(L466); Closing Thoughts(L531),9
collect,収集する / 集める,動詞,,data / information / evidence,×,Assign(L100); Analyze(L119); Interview(L200); Calibrate(L322),9
channel,チャンネル / 通信経路,名詞,システム,communication / message / chat,×,Assign(L102); Interview(L244),9
detail,詳細 / 詳細情報,名詞,データ,information / narrative / context,×,Analyze(L110); Interview(L198); Calibrate(L347),9
answer,回答 / 答え,名詞,主題,question / interview / clarification,×,Analyze(L116); Interview(L250); Calibrate(L384); Continued Learning(L606),9
talk,話す / 話し合う,動詞,,interview / communicate / discussion,×,Analyze(L187); Interview(L198); Calibrate(L399); Continued Learning(L552),9
engineering,エンジニアリング / 工学,名詞,概念,system / software / practice,×,Home(L15); Assign(L105); Interview(L196); Calibrate(L463); Distribute(L508); Continued Learning(L551),8
expertise,専門知識 / 専門性,名詞,概念,knowledge / skill / expert,×,Home(L15); Interview(L211); Calibrate(L360); Continued Learning(L608),8
