英語名,日本語訳,品詞,対象分類,関連語,独自辞書,場所,出現数
action item,アクションアイテム / 改善項目 / 対応事項,名詞句,行動,finding / improvement / remediation,○,Home(L24); Calibrate(L396); Continued Learning(L597),20
calibration document,キャリブレーション・ドキュメント / 認識合わせ資料,名詞句,ドキュメント,calibration / learning review meeting / facilitator,○,Home(L24); Analyze(L120); Calibrate(L311); Continued Learning(L572),16
incident analysis,インシデント分析,名詞句,プロセス,analysis / finding / timeline,×,Home(L24); Analyze(L110); Calibrate(L469); Distribute(L520); Closing Thoughts(L531); Continued Learning(L562),16
review meeting,レビューミーティング,名詞句,会議,learning review meeting / incident review / calibration,×,Home(L24); Analyze(L143); Calibrate(L316),14
incident review,インシデントレビュー,名詞句,会議,post-incident review / learning review meeting,×,Assign(L85); Analyze(L189); Interview(L198); Calibrate(L316); Distribute(L522); Continued Learning(L560),12
how we got here,「ここに至った経緯」文書 (HWGH),固定表現,ドキュメント,calibration document / narrative / timeline,○,Home(L8); Calibrate(L341); Continued Learning(L645),9
initial analysis,初期分析,名詞句,プロセス,analysis / preliminary / finding,×,Home(L51); Assign(L69); Analyze(L112); Interview(L207); Continued Learning(L591),8
incident data,インシデントデータ,名詞句,データ,data / timeline / source,×,Home(L24); Assign(L99); Analyze(L109); Distribute(L511),6
incident investigation,インシデント調査,名詞句,プロセス,investigator / investigation / analysis,○,Home(L28); Assign(L91),6
investigation process,調査プロセス,名詞句,プロセス,investigation / workflow / approach,×,Home(L28); Assign(L65); Continued Learning(L576),6
point of view,視点 / 観点 / 見方,固定表現,概念,perspective / viewpoint / narrative,×,Analyze(L164); Interview(L284); Calibrate(L332),6
new information,新たな情報 / 追加情報,名詞句,データ,information / data / finding,×,Analyze(L187); Interview(L205); Calibrate(L495),6
learning review,学習レビュー,名詞句,会議,learning review meeting / post-incident review,×,Interview(L257); Calibrate(L320); Distribute(L506),6
on call,オンコール / 待機当番中,固定表現,概念,on-call / incident response / escalation,○,Assign(L100); Analyze(L114); Interview(L211),5
post-incident review,ポストインシデント・レビュー / 事後レビュー,名詞句,会議,learning review meeting / post-mortem / debrief,○,Assign(L105); Analyze(L126); Distribute(L527); Continued Learning(L572),5
learning from incident,インシデントからの学習 / 障害から学ぶ,固定表現,概念,learning / insight / post-incident review,○,Home(L10); Continued Learning(L581),4
incident report,インシデントレポート / 事後報告書,名詞句,ドキュメント,post-incident report / distribute / finding,×,Home(L24); Calibrate(L311); Distribute(L524),4
postmortem meeting,ポストモーテム・ミーティング / 事後検討会,名詞句,会議,post-mortem / learning review meeting / debrief,○,Continued Learning(L636),4
resilience engineering,レジリエンスエンジニアリング,名詞句,概念,resilience / safety culture / human performance,○,Home(L15); Continued Learning(L551),3
performance improvement,パフォーマンス改善,名詞句,概念,improvement / action item / learning,×,Home(L20); Continued Learning(L577),3
learning review meeting,学習レビュー会議 / ポストインシデント振り返り会議,名詞句,会議,post-incident review / calibration document / facilitator,○,Home(L24); Analyze(L143); Calibrate(L341),3
facilitated meeting,ファシリテーションされた会議,名詞句,会議,facilitator / learning review meeting,×,Home(L59); Calibrate(L316),3
key moment,重要な瞬間 / キーモーメント,名詞句,概念,timeline / event / analysis,×,Analyze(L130); Calibrate(L336),3
initial review,初期レビュー,名詞句,プロセス,review / calibration / analysis,×,Analyze(L167); Calibrate(L324),3
subject matter expert,業務領域専門家 / SME,名詞句,人物,expert / knowledge / interview,○,Analyze(L176); Calibrate(L424),3
incident response,インシデント対応,名詞句,プロセス,on-call / escalation / action item,×,Interview(L196),3
direct message,ダイレクトメッセージ / DM,名詞句,データ,chat transcript / data source / Slack,×,Interview(L196),3
specific question,具体的な質問,名詞句,会議,interview question / facilitation / probe,×,Interview(L256); Calibrate(L343),3
multiple perspective,多様な視点 / 複数の観点,名詞句,概念,perspective / viewpoint / diversity,×,Interview(L265); Calibrate(L486),3
corrective action,是正措置 / 修正アクション,名詞句,行動,action item / improvement / remediation,○,Interview(L272); Calibrate(L414); Distribute(L506),3
interview note,インタビューメモ / 聴取記録,名詞句,ドキュメント,interview / document / transcript,×,Interview(L304),3
final report,最終レポート / 最終報告書,名詞句,ドキュメント,report / distribute / finding,×,Calibrate(L316),3
